Application Date,Country,YOE,Seniority,Technology,Code Challenge Score,Technical Interview Score,approved
2021-02-26,Norway,2,Intern,Data Engineer,3,3,False
2021-09-09,Panama,10,Intern,Data Engineer,2,10,False
2020-04-14,Belarus,4,Mid-Level,Client Success,10,9,True
2020-10-01,Eritrea,25,Trainee,QA Manual,7,1,False
2020-05-20,Myanmar,13,Mid-Level,Social Media Community Management,9,7,False
2019-08-17,Zimbabwe,8,Junior,Adobe Experience Manager,2,9,False
2018-05-18,Wallis and Futuna,19,Trainee,Sales,2,9,False
2021-12-09,Myanmar,1,Lead,Mulesoft,2,5,False
2018-03-13,Italy,18,Lead,Social Media Community Management,7,10,False
2022-04-08,Timor-Leste,25,Lead,DevOps,2,0,False
2019-09-22,Armenia,24,Intern,Development - CMS Backend,4,9,False
2020-07-15,French Southern Territories,28,Lead,DevOps,7,4,False
2021-12-27,Chad,3,Mid-Level,Salesforce,5,10,False
2020-05-09,El Salvador,16,Junior,System Administration,7,8,False
2019-10-12,Mozambique,18,Architect,Security,4,1,False
2018-10-18,Brunei Darussalam,21,Mid-Level,Game Development,4,6,False
2020-03-25,Morocco,28,Architect,Social Media Community Management,5,5,False
2021-05-23,Saint Helena,19,Senior,Social Media Community Management,3,5,False
2018-05-02,Portugal,20,Trainee,Development - CMS Frontend,4,2,False
2021-04-13,Mozambique,3,Architect,Adobe Experience Manager,2,3,False
2019-03-21,Central African Republic,29,Architect,Game Development,0,2,False
2020-07-12,Seychelles,11,Lead,Security Compliance,4,1,False
2021-01-09,Dominica,14,Junior,Game Development,8,8,True
2021-07-27,Finland,24,Mid-Level,Development - Backend,7,5,False
2019-11-18,Belgium,3,Architect,DevOps,5,6,False
2018-04-25,Niue,6,Lead,Social Media Community Management,8,4,False
2020-01-26,Japan,5,Lead,Design,8,10,True
2021-12-04,Palestinian Territory,21,Junior,Security,6,8,False
2022-01-05,Faroe Islands,0,Trainee,Business Analytics / Project Management,1,4,False
2020-11-28,Latvia,0,Junior,Mulesoft,5,1,False
2019-05-25,Saint Helena,25,Mid-Level,Security,5,0,False
2018-09-21,Saudi Arabia,13,Senior,Development - Backend,3,7,False
2018-03-04,Poland,29,Architect,Mulesoft,3,6,False
2021-08-19,Micronesia,20,Intern,Client Success,10,0,False
2018-08-21,Panama,9,Senior,Adobe Experience Manager,8,8,True
2020-06-24,Macao,17,Lead,DevOps,4,2,False
2018-03-13,Bangladesh,9,Senior,Development - Frontend,3,5,False
2019-01-07,Taiwan,27,Intern,Development - FullStack,8,0,False
2022-01-26,Slovakia (Slovak Republic),9,Intern,Development - CMS Frontend,10,4,False
2019-12-16,Mexico,4,Intern,Business Intelligence,2,2,False
2022-03-25,Nigeria,8,Lead,Development - FullStack,4,0,False
2018-10-04,Guadeloupe,26,Trainee,Database Administration,3,3,False
2019-12-02,Bosnia and Herzegovina,4,Lead,Security Compliance,3,6,False
2020-09-10,Guyana,18,Senior,Security,5,0,False
2021-03-07,Croatia,27,Mid-Level,DevOps,0,0,False
2021-07-05,Svalbard & Jan Mayen Islands,13,Mid-Level,Development - Frontend,6,5,False
2021-04-09,Yemen,11,Junior,DevOps,7,8,False
2019-04-26,Nigeria,11,Intern,Game Development,2,8,False
2020-12-24,Ukraine,10,Senior,Adobe Experience Manager,6,2,False
2021-03-28,Zambia,28,Lead,Business Analytics / Project Management,2,9,False
2020-09-23,Wallis and Futuna,30,Junior,DevOps,8,7,False
2018-03-05,Palestinian Territory,24,Architect,Development - FullStack,2,8,False
2021-06-26,Paraguay,26,Senior,Game Development,5,5,False
2022-02-27,Puerto Rico,18,Senior,Security,10,10,True
2022-03-26,Madagascar,3,Architect,Data Engineer,9,2,False
2018-10-26,Bulgaria,19,Trainee,Business Analytics / Project Management,10,7,False
2021-09-06,Jersey,18,Lead,Game Development,8,5,False
2021-10-01,Yemen,27,Lead,Development - CMS Frontend,6,1,False
2018-06-11,French Polynesia,27,Architect,Development - CMS Backend,3,8,False
2021-01-01,United States of America,4,Mid-Level,Salesforce,9,4,False
2019-06-04,Mali,11,Junior,Security Compliance,6,5,False
2018-08-28,Anguilla,4,Lead,Sales,6,3,False
2018-04-30,Holy See (Vatican City State),5,Junior,Development - Backend,5,7,False
2022-01-13,Andorra,21,Lead,QA Automation,5,10,False
2021-01-24,Republic of Korea,30,Lead,Security Compliance,9,8,True
2018-05-25,Turkey,7,Lead,Business Analytics / Project Management,2,2,False
2020-01-26,Heard Island and McDonald Islands,18,Trainee,Technical Writing,4,1,False
2021-07-18,Malta,25,Mid-Level,Sales,10,5,False
2022-04-11,Micronesia,9,Trainee,QA Manual,4,3,False
2021-10-14,Liechtenstein,30,Junior,Development - Frontend,9,3,False
2018-09-08,Equatorial Guinea,19,Mid-Level,Social Media Community Management,7,5,False
2020-01-02,Mexico,29,Architect,Business Analytics / Project Management,5,6,False
2019-12-20,Algeria,10,Architect,Adobe Experience Manager,8,3,False
2021-07-11,Falkland Islands (Malvinas),19,Architect,Salesforce,10,6,False
2018-07-17,Puerto Rico,16,Trainee,Game Development,5,0,False
2021-07-21,Ecuador,15,Senior,Development - Backend,0,1,False
2020-11-09,Jamaica,10,Junior,Development - Frontend,7,2,False
2018-08-09,Eritrea,13,Mid-Level,Business Intelligence,4,1,False
2020-01-06,San Marino,7,Senior,Mulesoft,8,0,False
2019-03-06,Malawi,11,Lead,Social Media Community Management,5,10,False
2019-12-14,Albania,11,Junior,Design,10,2,False
2019-12-10,Wallis and Futuna,12,Intern,DevOps,1,9,False
2018-09-01,Guinea-Bissau,9,Junior,Salesforce,7,5,False
2018-10-23,Saint Helena,15,Trainee,Sales,6,10,False
2020-10-18,Brazil,18,Senior,DevOps,1,8,False
2021-12-02,Cyprus,29,Junior,Development - Frontend,2,6,False
2021-06-27,Botswana,17,Trainee,Security,9,4,False
2020-11-23,Kiribati,30,Lead,Client Success,6,10,False
2022-06-17,Estonia,7,Junior,Business Intelligence,7,9,False
2021-11-05,Nepal,10,Mid-Level,Game Development,2,8,False
2020-07-15,Cook Islands,15,Trainee,Security Compliance,6,3,False
2020-11-02,Lao People's Democratic Republic,4,Trainee,Development - Frontend,1,1,False
2019-11-25,Vanuatu,2,Senior,Sales,5,7,False
2018-01-07,Mauritania,8,Junior,Business Intelligence,5,2,False
2018-04-27,Nauru,10,Intern,System Administration,7,7,False
2018-03-21,Trinidad and Tobago,22,Mid-Level,Sales,0,0,False
2018-10-06,Gibraltar,5,Senior,Development - CMS Frontend,8,4,False
2019-03-21,Pitcairn Islands,12,Junior,Technical Writing,3,0,False
2021-02-18,Montenegro,1,Lead,Development - Backend,4,6,False
2021-01-27,Antarctica (the territory South of 60 deg S),11,Trainee,Security,10,10,True
2019-02-17,Sudan,25,Mid-Level,Development - Frontend,0,4,False
2020-04-03,Honduras,3,Mid-Level,Data Engineer,3,6,False
2018-07-18,Cayman Islands,2,Trainee,Security,8,10,True
2019-02-14,France,4,Senior,Design,7,6,False
2020-08-15,Virgin Islands British,5,Junior,DevOps,9,3,False
2018-12-06,Iran,20,Lead,DevOps,9,2,False
2022-02-11,Seychelles,3,Architect,Development - CMS Frontend,10,10,True
2018-12-11,Barbados,10,Architect,Database Administration,4,5,False
2020-06-11,Ecuador,5,Mid-Level,Data Engineer,4,1,False
2022-02-08,Cyprus,6,Trainee,Mulesoft,1,2,False
2021-12-14,Turks and Caicos Islands,10,Intern,Business Intelligence,3,7,False
2021-11-23,Estonia,1,Intern,Social Media Community Management,10,8,True
2021-04-30,Malaysia,8,Architect,Client Success,4,4,False
2018-12-19,Austria,25,Lead,Salesforce,7,9,False
2018-10-01,Burkina Faso,30,Intern,Security,9,0,False
2019-06-18,Moldova,13,Trainee,Business Analytics / Project Management,6,0,False
2018-01-19,El Salvador,11,Mid-Level,Design,6,8,False
2020-11-03,Lao People's Democratic Republic,24,Junior,Database Administration,10,3,False
2018-09-03,Anguilla,12,Lead,Game Development,8,5,False
2019-04-30,Serbia,20,Architect,Development - FullStack,7,5,False
